ID,Ministerie van,Pand,Eigendom/ Huur,Onderhouds status 2020,Gebruiks status 2020,District,Adres,Afdeling/diensten/activiteit,update datum
2,GRONDBELEID EN BOSBEHEER,Zanderij 1,Eigendom van de Staat,Slecht,leegstaand,Para,Langs de hoofdweg,Buitenposten (Jachtopzieners),17-Aug-20
7,BINNENLANDSE ZAKEN,BVB La-Vigilantie,Huurpand,Goed,in gebruik,Para,Sir Winston Churchillweg,Diverse diensten CBB,20-Aug-20
8,BINNENLANDSE ZAKEN,BVB Onverwacht,Geb.Min RO,Redelijk,in gebruik,Para,Comm. Onverwacht,Diverse diensten CBB,20-Aug-20
9,OPENBARE WERKEN,Afd. Restauratie & Onderhoud,eigendom,,,Para,Para; Rijsdijk,Directoraat Bouwkundige werken en Dienstverlening,
10,OPENBARE WERKEN,PARA,Eigendom,,,Para,Medewerkers Para te Lelydorp,Directoraat Openbaar Groen,
11,DEFENSIE,Ayoko Kazerne (Bos Bivak Zanderij),Ter beschikking,Redelijk,in gebruik,Para,Zanderij,Kazerne,2-Oct-20
12,DEFENSIE,Stg. Martowidjojo Opleidingscentrum (Concordia),Ter beschikking,Slecht,in gebruik,Para,Mlk-weg (Concordia),Opleidings Centrum,2-Oct-20
13,DEFENSIE,Aerocarto (M.P. Opleidingscentrum),Aanvraag Ter Beschikking ROGB,Slecht,deels in gebruik,Para,Ten Oosten J.F. Kennedyweg,Opleidings Centrum,2-Oct-20
16,DEFENSIE,Camp Monsanto,Aanvraag Ter Beschikking ,,,Para,Pikin Saron,Jungle Site,2-Oct-20
17,ONDERWIJS WETENSCHAP EN CULTUUR,Stichting Jan Starke Opleidings- en Ontspanningscentrum (School t.b.v. L.B.O. Zanderij),Huurpand,Redelijk,1 okt. 2016-30 sept. 2017,Para,Zanderij 1,Directoraat Onderwijs,9-Oct-20
19,GRONDBELEID EN BOSBEHEER,Goliath,Elgendom van de Staat,,,Para,Niet gelocaliseerd,Onbekend,
20,GRONDBELEID EN BOSBEHEER,Coesewijne ,Eigendom van de staat,,,Para,Niet geweest,Onbekend,
22,LANDBOUW VEETEELT & VISSERIJ,Rayon kantoor Para,Eigendom,Goed,,Para,Indira Gandhiweg,Onbekend,2015
23,LANDBOUW VEETEELT & VISSERIJ,Gebouwencomplex Staatsboerderij,Eigendom,,,Para,Lelydorp/Javaweg,Onbekend,2015
24,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 1,Directoraat Belastingen/douane,2015
25,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 2,Directoraat Belastingen/douane,2015
26,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 3,Directoraat Belastingen/douane,2015
27,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 4,Directoraat Belastingen/douane,2015
28,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 16,Directoraat Belastingen/douane,2015
29,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 16 A,Directoraat Belastingen/douane,2015
30,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 17,Directoraat Belastingen/douane,2015
31,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 57,Directoraat Belastingen/douane,2015
32,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 57 A,Directoraat Belastingen/douane,2015
33,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 45,Directoraat Belastingen/douane,2015
34,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Zanderij 47,Directoraat Belastingen/douane,2015
35,FINANCIEN,Dienstwoning,Eigendom,Matig,,Para,Paranam,Directoraat Belastingen/douane,2015
36,FINANCIEN,"Commissariaat
Sub Betaaldienst Para",,Redelijk,,Para,Onverwacht,"Directoraat Financiën/Centrale
Betaaldienst",2015
18,ONDERWIJS WETENSCHAP EN CULTUUR,Jan Starke Opleidings- en Ontspanningscentrum (School t.b.v. O.S. Zanderij),Huurpand,Redelijk,1 okt. 2016-30 sept. 2017,Para ,Zanderij 1,Directoraat Onderwijs,9-Oct-20
21,VOLKSGEZONDHEID,BOG-gebouw Zanderij,Eigendom,Redelijk (Gaas ter bescherming van vleermuizen moet geplaatst worden),,Para ,Vincent Faiksweg  11,Dienstverlenend,2015
41,ARBEID WERKGELEGENHEID & JEUGZAKEN,Oud hoofdgebouw Arbeidsbemiddeling (monumentaat),Staat van Suriname,Slecht,in gebruik/ gedeeltelijk,Paramabribo,Wagenwegstraat  47,Onbekend,13-Aug-20
1,TRANSPORT COMMUNICATIE EN TOERISME,Zorg en Hoop,Eigendom,Slecht,in gebruik,Paramaribo,Coesewijnestraat  1,Secretariaat,8-Aug-20
2,TRANSPORT COMMUNICATIE EN TOERISME,Zorg en Hoop,Eigendom,Slecht,in gebruik,Paramaribo,Doekhieweg  1,Technische /Bouwkunde,8-Aug-20
3,TRANSPORT COMMUNICATIE EN TOERISME,Zorg en Hoop,Eigendom,Slecht,in gebruik,Paramaribo,Doekhieweg  1,Personeelsadministratie,8-Aug-20
4,JUSTITIE EN POLITIE,FIU  ( MOT),Eigendom,Goed,in gebruik,Paramaribo,David simonstraat  143-145,Onbekend,8-Aug-20
5,JUSTITIE EN POLITIE,Deliquentenzorg / FZ,Eigendom,Redelijk,in gebruik,Paramaribo,Tibitistraat ,Onbekend,8-Aug-20
6,JUSTITIE EN POLITIE,Opa Doelie,Eigendom,Redelijk,in gebruik,Paramaribo,Limesgracht ,Onbekend,8-Aug-20
7,JUSTITIE EN POLITIE,Beveiliging-Bijstandsdienst Suriname,Eigendom,Goed,in gebruik,Paramaribo,Van Idsingastraat ,Onbekend,8-Aug-20
8,JUSTITIE EN POLITIE,Oud KKF gebouw,Eigendom,Slecht,leeg,Paramaribo,Mirandastraat  10,Onbekend,8-Aug-20
9,JUSTITIE EN POLITIE,Bureau Rechtszorg / oud,Eigendom,Slecht,leeg,Paramaribo,Gongrijpstraat  3,Onbekend,8-Aug-20
10,JUSTITIE EN POLITIE,Bufaz gebouw  / oud,Eigendom,Slecht,leeg,Paramaribo,Grote Combeweg  2,Onbekend,8-Aug-20
11,JUSTITIE EN POLITIE,Vreemdelingen zaken/ oud,Eigendom,Slecht,leeg,Paramaribo,Grote Combeweg  2,Onbekend,8-Aug-20
12,JUSTITIE EN POLITIE,TIP,Huur,Redelijk,in  gebruik,paramaribo,HK. Tampoco- en corantijnstraatr,Onbekend,8-Aug-20
13,JUSTITIE EN POLITIE,Opvanghuis,Huur,Redelijk,ingebruik,Paramaribo,Pricellastraat,Onbekend,8-Aug-20
14,JUSTITIE EN POLITIE,Meldpunt latour,Stibula,Redelijk,in gebruik,Paramaribo,Stibula,Onbekend,8-Aug-20
15,JUSTITIE EN POLITIE,Centraal kantoor,Eigendom,Slecht,gedeeltelijk gebruik,Paramaribo,Henck Arronstraat  1,Onbekend,8-Aug-20
16,JUSTITIE EN POLITIE,Tweeling gebouw,Eigendom,Goed,in gebruik,Paramaribo,Henck Arronstraat  1,Onbekend,8-Aug-20
17,JUSTITIE EN POLITIE,Gebouw minister,Eigendom,Goed,in gebruik,Paramaribo,Henck Arronstraat  1,Onbekend,8-Aug-20
18,JUSTITIE EN POLITIE,Algemene Zaken,Eigendom,Redelijk,in gebruik,Paramaribo,Lim A Postraat  4,Onbekend,8-Aug-20
19,JUSTITIE EN POLITIE,Malaha gebouw,Eigendom,Redelijk,in gebruik,Paramaribo,Henck Arronstraat  1,Onbekend,8-Aug-20
20,JUSTITIE EN POLITIE,Oud parket gebouw,Eigendom,Redelijk,in gebruik,Paramaribo,Henck Arronstraat  1,Onbekend,8-Aug-20
21,JUSTITIE EN POLITIE,Kanton Civiele zaken,Eigendom,Goed,in gebruik,Paramaribo,Grote Combeweg  2,Onbekend,8-Aug-20
22,JUSTITIE EN POLITIE,Strafzaken en R.C.,Eigendom,Goed,in gebruik,Paramaribo,Wulfingstraat,Onbekend,8-Aug-20
23,JUSTITIE EN POLITIE,Parket (OM) nieuw,Eigendom,Goed,in gebruik,Paramaribo,Limesgracht  92,Onbekend,8-Aug-20
24,JUSTITIE EN POLITIE,Parketwacht,Eigendom,Slecht,in gebruik,Paramaribo,Lim A Postraat  6,Onbekend,8-Aug-20
25,JUSTITIE EN POLITIE,Interne controle,Eigendom,Slecht,in gebruik,Paramaribo,Lim A Postraat  6,Onbekend,8-Aug-20
26,JUSTITIE EN POLITIE,Onderzoek Planning en documentatie,Eigendom,Goed,in gebruik,Paramaribo,Basitostraat ,Onbekend,8-Aug-20
27,JUSTITIE EN POLITIE,Vreemdelingen zaken verl.keizerstr.,Eigendom,Goed,leeg,Paramaribo,Verl. Keizerstraat  7,Onbekend,8-Aug-20
28,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Hoofdkantoor,Huur,Redelijk,in gebruik,Paramaribo,Havenlaan  1,Alle,8-Aug-20
29,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Dienst Onderdeel,Eigendom,Slecht,in gebruik,Paramaribo,Industrieweg- Zuid  48-50,E.C.D W&Y en Technische Dienst,8-Aug-20
