ID,Ministerie van,Pand,Eigendom/ Huur,Onderhouds status 2020,Gebruiks status 2020,District,Adres,Afdeling/diensten/activiteit,update datum
90,OPENBARE WERKEN,Pomgemaal Clevia,eigendom,,,Paramaribo,Kasoedjieweg,Directoraat Civiel Technische Werken,
91,OPENBARE WERKEN,Morgenstond,eigendom,,,Paramaribo,Nagtegaalstraat 385,Directoraat Civiel Technische Werken,
92,OPENBARE WERKEN,Geyersvlijt,eigendom,,,Paramaribo,Antondragtenweg,Directoraat Civiel Technische Werken,
93,OPENBARE WERKEN,Mathoera Sluis,eigendom,,,Paramaribo,Antondragtenweg,Directoraat Civiel Technische Werken,
94,OPENBARE WERKEN,Boomskreek,eigendom,,,Paramaribo,Antondragtenweg,Directoraat Civiel Technische Werken,
95,OPENBARE WERKEN,Pompgemaal Sommelsdijcksekreek,eigendom,,,Paramaribo,Kleine combestraat 6,Directoraat Civiel Technische Werken,
96,OPENBARE WERKEN,Benjaminstraat,eigendom,,,Paramaribo,Benjaminstraat,Directoraat Civiel Technische Werken,
97,OPENBARE WERKEN,Peu et Content,eigendom,,,Paramaribo,Dounestraat,Directoraat Civiel Technische Werken,
98,OPENBARE WERKEN,Pompgemaal Jodenbreestraat,eigendom,,,Paramaribo,Jodenbreestraat,Directoraat Civiel Technische Werken,
99,OPENBARE WERKEN,Drambrandersgracht,eigendom,,,Paramaribo,Kleine Sarcamaccastraat 3,Directoraat Civiel Technische Werken,
100,OPENBARE WERKEN,Limesgracht,eigendom,,,Paramaribo,Limesgracht,Directoraat Civiel Technische Werken,
101,OPENBARE WERKEN,Nw. Haven,eigendom,,,Paramaribo,Havenlaan,Directoraat Civiel Technische Werken,
102,OPENBARE WERKEN,Gemaal Walabastraat,eigendom,,,Paramaribo,Walabastraat,Directoraat Civiel Technische Werken,
103,OPENBARE WERKEN,Gemaal kemperweg,eigendom,,,Paramaribo,Kemperweg,Directoraat Civiel Technische Werken,
104,OPENBARE WERKEN,Gemaal koffiedam,eigendom,,,Paramaribo,Industrieweg,Directoraat Civiel Technische Werken,
105,OPENBARE WERKEN,Gemaal Winti Wai,eigendom,,,Paramaribo,Latourweg,Directoraat Civiel Technische Werken,
106,OPENBARE WERKEN,Gemaal Ramgoelam,eigendom,,,Paramaribo,Indiragandiweg,Directoraat Civiel Technische Werken,
107,OPENBARE WERKEN,Gemaal Tamanoa,eigendom,,,Paramaribo,Indiragandiweg,Directoraat Civiel Technische Werken,
108,OPENBARE WERKEN,Irrigratie gemaal,eigendom,,,Paramaribo,Nieuweergevondenweg 20,Directoraat Civiel Technische Werken,
109,OPENBARE WERKEN,Directoraat OG,Eigendom,,,Paramaribo,Kernkampweg 64,Directoraat Openbaar Groen,
110,OPENBARE WERKEN,Gebouw no 1,Eigendom,,,Paramaribo,Kernkampweg 64,Directoraat Openbaar Groen,
111,OPENBARE WERKEN,Gebouw no 2,Eigendom,,,Paramaribo,Kernkampweg 64,Directoraat Openbaar Groen,
112,OPENBARE WERKEN,Gebouw no 3,Eigendom,,,Paramaribo,Kernkampweg 64,Directoraat Openbaar Groen,
113,OPENBARE WERKEN,Gebouw no 4,Eigendom,,,Paramaribo,Kernkampweg 64,Directoraat Openbaar Groen,
114,OPENBARE WERKEN,Gebouw no 5,Eigendom,,,Paramaribo,Kernkampweg 64,Directoraat Openbaar Groen,
115,OPENBARE WERKEN,Gebouw no 6,Eigendom,,,Paramaribo,Kernkampweg 64,Directoraat Openbaar Groen,
116,OPENBARE WERKEN,Gebouw no 7,Eigendom,,,Paramaribo,Kernkampweg 64,Directoraat Openbaar Groen,
117,OPENBARE WERKEN,Gebouw no 8,Eigendom,,,Paramaribo,Kernkampweg 65,Directoraat Openbaar Groen,
118,OPENBARE WERKEN,Gebouw no 9,Eigendom,,,Paramaribo,Kernkampweg 66,Directoraat Openbaar Groen,
119,OPENBARE WERKEN,Gebouw no 10,Eigendom,,,Paramaribo,Kernkampweg 67,Directoraat Openbaar Groen,
120,OPENBARE WERKEN,Gladiolenplein,Eigendom,,,Paramaribo,Gladiolenstraat,Directoraat Openbaar Groen,
121,OPENBARE WERKEN,Prof. Dr. Coenooftplein,Eigendom,,,Paramaribo,Benjaminstraat,Directoraat Openbaar Groen,
122,OPENBARE WERKEN,Peu-et-Contantplein,Eigendom,,,Paramaribo,Rensprojekt,Directoraat Openbaar Groen,
123,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 1 (Centraal kantoor),Eigendom van de Staat,,,Paramaribo,H. Arronstraat,Onbekend,29-Sep-20
124,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 1 (Wijk 2),Eigendom van de Staat,,,Paramaribo,H. Arronstraat,Onbekend,29-Sep-20
125,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 1 (Wijk 3),Eigendom van de Staat,,,Paramaribo,Ananasstraat/Zorg en Hoop,Onbekend,29-Sep-20
126,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 1 (Wijk 4),Egendom van de Staat,,,Paramaribo,H. Arronstraat,Onbekend,29-Sep-20
127,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 1 (Wijk 5),Eigendom van de Staat,,,Paramaribo,H. Arronstraat,Onbekend,29-Sep-20
128,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 1 (Wijk 8),Eigendom van de staat,,,Paramaribo,H. Arronstraat,Onbekend,29-Sep-20
129,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO (Wijk 9),Eigendom van de Staat,,,Paramaribo,Waterkant  30-32,Onbekend,29-Sep-20
130,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 1 (Wijk 16),Eigendom van de Staat,,,Paramaribo,Waterkant  30-32,Onbekend,29-Sep-20
131,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 2 (Centraal Kantoor),Eigendom van de Staat,,,Paramaribo,H. Arronstraat,Onbekend,29-Sep-20
132,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 2 (Wijk 1),Eigendom van de Staat,,,Paramaribo,H. Arronstraat,Onbekend,29-Sep-20
133,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 2 (Wijk 6),Eigendom van de Staat,,,Paramaribo,M. J. Lachmonstraat,Onbekend,29-Sep-20
134,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 2 (Wijk 12),Eigendom van de Staat,,,Paramaribo,Ramnarain Oemrawweg  1,Onbekend,29-Sep-20
135,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA PARAMARIBO 2 (Wijk 13),Eigendom van de Staat,,,Paramaribo,H. Arronstraat,Onbekend,29-Sep-20
137,DEFENSIE,Centraal kantoor,Ter beschikking,Redelijk,in gebruik,Paramaribo,Kwattaweg  29,Administratieve diensten,2-Oct-20
138,DEFENSIE,Militair Academie Nationaal Leger,Eigendom van de Staat,Goed,in gebruik,Paramaribo,Keizerstraat  77a,Opleidingen,2-Oct-20
139,DEFENSIE,Memre Boekoe Kazerne Noord,Ter beschikking,Redelijk,in gebruik,Paramaribo,Verl. Gemenelandsweg  303,Operationele/Administratie,2-Oct-20
140,DEFENSIE,Memre Boekoe Kazerne Zuid,Aanvraag Ter Beschikking ROGB,Redelijk,in gebruik,Paramaribo,Verl. Gemenelandsweg  318a,Operationele/Administratie,2-Oct-20
141,DEFENSIE,Stg. Nazorg Dienstplichtigen,Ter beschikking,Goed,in gebruik,Paramaribo,Thompsonstraat  521c,Administratieve diensten,2-Oct-20
142,DEFENSIE,Hoofdkwartier Militaire Politie,Aanvraag Ter Beschikking ROGB,Redelijk,in gebruik,Paramaribo,Hk. Tourtonnelaan/Henk Arronstraat  52,Operationele/Administratie,2-Oct-20
143,DEFENSIE,Dr. F.A.C. Dumontier Militair Hospitaal,Ter beschikking,Goed,in gebruik,Paramaribo,Abraham Samsonstraat  8,Ziekenhuis/Artsenpoli/Apotheek/Adm.,2-Oct-20
144,DEFENSIE,Luchtmacht Basis Zorg en Hoop,Aanvraag Ter Beschikking ROGB,Redelijk,in gebruik,Paramaribo,Doekhieweg  9,Operationele/Administratie,2-Oct-20
145,DEFENSIE,Munitie Bunker Zorg en Hoop,Ter beschikking,Redelijk,in gebruik,Paramaribo,Doekhieweg  24,Munitieopslag,2-Oct-20
146,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Eigendom,Redelijk/Slecht,,Paramaribo,Dr. S. Kafiluddistraat  117-123,Directoraat Onderwijs,2-Oct-20
147,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Eigendom,Slecht,,Paramaribo,Heerenstraat  8-10,Directoraat Onderwijs,2-Oct-20
148,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Eigendom,Slecht,,Paramaribo,Jessurunstraat  15,Directoraat Onderwijs,2-Oct-20
149,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Eigendom,Redelijk,,Paramaribo,Commewijnestraat  31-33,Directoraat Onderwijs,2-Oct-20
150,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Eigendom,Redelijk/Slecht,,Paramaribo,Kleine Saramaccastraat  37,Directoraat Onderwijs,2-Oct-20
151,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Eigendom,Redelijk/Slecht,,Paramaribo,Franchepanestraat,Directoraat Onderwijs,2-Oct-20
152,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Eigendom,Goed/Redelijk,,Paramaribo,Passiebloemstraat,Directoraat Onderwijs,2-Oct-20
153,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Eigendom,Redelijk/Slecht,,Paramaribo,"Project Volksgezondheid no. 1, Brokopondo",Directoraat Onderwijs,2-Oct-20
154,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Eigendom,Redelijk,,Paramaribo,Magrietstraat  3,Directoraat Onderwijs,2-Oct-20
155,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Eigendom,Redelijk,,Paramaribo,Rode Kruislaan  11,Directoraat Onderwijs,2-Oct-20
156,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Huurpand,Goed,in gebruik,Paramaribo,Grote Combeweg  48,Directoraat Onderwijs,2-Oct-20
157,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Huurpand,,gebruik stopgezet,Paramaribo,Hendrikstraat  170,Directoraat Onderwijs,2-Oct-20
158,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Huurpand,,gebruik stopgezet,Paramaribo,Hernhutterstraat  72,Directoraat Onderwijs,2-Oct-20
159,ONDERWIJS WETENSCHAP EN CULTUUR,Magazijn,Huurpand,,gebruik stopgezet,Paramaribo,Hendrikstraat  200,Directoraat Onderwijs,2-Oct-20
162,ONDERWIJS WETENSCHAP EN CULTUUR,Stichting Buurtwerk Latour (STIBULA) t.b.v. scholen in de omgeving,Huurpand,Redelijk,1 okt. 2008-Heden,Paramaribo,Latour ,Directoraat Onderwijs,9-Oct-20
163,ONDERWIJS WETENSCHAP EN CULTUUR,Soekhradj B. t.b.v. O.S. SANTOPOLDER,Huurpand,Redelijk,1 okt. 2013-Heden,Paramaribo,Santopolder  180,Directoraat Onderwijs,9-Oct-20
164,ONDERWIJS WETENSCHAP EN CULTUUR,Jagroep J. (O.S. Rampat Jagroepschool),Huurpand,Redelijk,1 okt. 2013-Heden (Stilzwijgend),Paramaribo,Hendrikstraat  200,Directoraat Onderwijs,9-Oct-20
165,ONDERWIJS WETENSCHAP EN CULTUUR,Stg. D.E.O. (Wi Kontren) (Kleuterschool t.b.v. de Lobatoschool),Huurpand,Redelijk,1 jan. 2012-Heden (Stilzwijgend),Paramaribo,Theodorusstraat  90-92,Directoraat Onderwijs,9-Oct-20
166,ONDERWIJS WETENSCHAP EN CULTUUR,Mac Andrew (School t.b.v. Dependance Lachmonstraat),Huurpand,Redelijk,1 dec. 2019-30 nov. 2020,Paramaribo,Veenasteeg  16 (Latour),Directoraat Onderwijs,9-Oct-20
167,ONDERWIJS WETENSCHAP EN CULTUUR,Lions Club Parwani (School t.b.v. IMEAO Nieuw Lokalen Bouw),Huurpand,Redelijk,15 aug. 2019-Heden (Stilzwijgend),Paramaribo,Parwanilaan (Middenpad Kwatta),Directoraat Onderwijs,9-Oct-20
168,ONDERWIJS WETENSCHAP EN CULTUUR,Lions Club Parwani (School t.b.v. IMEAO Oud Lokalen Bouw),Huurpand,Redelijk,15 aug. 2019-Heden (Stilzwijgend),Paramaribo,Parwanilaan (Middenpad Kwatta),Directoraat Onderwijs,9-Oct-20
169,ONDERWIJS WETENSCHAP EN CULTUUR,Lions Club Parwani (School t.b.v. mulo Nieuw Lokalen Bouw),Huurpand,Redelijk,15 aug. 2019-Heden (Stilzwijgend),Paramaribo,Parwanilaan (Middenpad Kwatta),Directoraat Onderwijs,9-Oct-20
170,ONDERWIJS WETENSCHAP EN CULTUUR,Lions Club Parwani (School t.b.v. IMEAO Oud Lokalen Bouw),Huurpand,Redelijk,15 aug. 2019-Heden (Stilzwijgend),Paramaribo,Parwanilaan (Middenpad Kwatta),Directoraat Onderwijs,9-Oct-20
171,ONDERWIJS WETENSCHAP EN CULTUUR,Alakhramsing G.S. (School t.b.v. Openbare BO School),Huurpand,Redelijk,1 okt. 2013-Heden (Stilzwijgend),Paramaribo,Jankielaan (Kwatta),Directoraat Onderwijs,9-Oct-20
172,REGIONALE ONTWIKKELING EN SPORT,,Huurpand,,in gebruik,Paramaribo,Waterkant  44,Directoraat Duurzame Ontwikkeling Afro-Surinamers Binnenland,2-Oct-20
173,justitie en politie,opvanghuis,huur,,Niet gelocaliseerd,Paramaribo,pricellastraat,Onbekend,
174,justitie en politie,malaha gebouw,eigendom,,Niet gelocaliseerd,Paramaribo,henck arronstraat 1,Onbekend,
175,GRONDBELEID EN BOSBEHEER,Gebouw,Eigendorn van de Staat,,Niet gelocaliseerd,Paramaribo,gemeenelandsweg t/o brandweer,Buitenposten [Jachtopzleners)     ,
176,GRONDBELEID EN BOSBEHEER,Gebouw,Eigendom van de Staat,,Niet gelocaliseerd,Paramaribo,Prinsessestraat,Buitenposten (Jachtopzieners),
177,BINNENLANDSE ZAKEN,oud cpa gebouw,Eigendom,,Niet gelocaliseerd,Paramaribo,onafhankelijksheidsplein,Onbekend,
178,VOLKSGEZONDHEID,Centraal Bureau Longziekten (CBL),Eigendom ,Redelijk (het vernieuwen van enkele dakplaten),,Paramaribo,Rode Kruislaan  3,Dienstverlenend,2015
179,VOLKSGEZONDHEID,Nieuw Centraal Laboratorium ,Eigendom,Redelijk (het vernieuwen van enkele onderdelen van het koelingssysteem),,Paramaribo,Rode Kruislaan  11A,Dienstverlenend,2015
180,VOLKSGEZONDHEID,Oud Centraal Laboratorium,Eigendom,Slecht (Boven verdieping moet geheel gerestaureerd worden),,Paramaribo,Rode Kruislaan  13,Dienstverlenend,2015
181,VOLKSGEZONDHEID,Medisch Opvoedkundig Bureau (MOB),Eigendom,Redelijk (moet gedeeltelijk gerestaureerd worden),,Paramaribo,Rode Kruislaan  15,Dienstverlenend,2015
182,VOLKSGEZONDHEID,Hoofdgebouw BOG,Eigendom,Redelijk (dak moet vernieuwd worden ),,Paramaribo,Rode Kruislaan  22,Dienstverlenend,2015
183,VOLKSGEZONDHEID,Hoofdkantoor MVG,Eigendom,Redelijk,,Paramaribo,Henck Arronstraat 64,Directie en Centraal Administratie en Dependance Comptabiliteit van Financien,2015
184,VOLKSGEZONDHEID,Dermatologische Dienst,Eigendom ,Slecht   ,,Paramaribo,Tourtonnelaan 5,Dermatologie-Poli en administratie,2015
185,VOLKSGEZONDHEID,NAP/GV,Eigendom,Redelijk,,Paramaribo,Tourtonnelaan 5,Programma-beleid (Nationaal Aids progr.),2015
186,VOLKSGEZONDHEID,,Huur,Redelijk,,Paramaribo,Gravenbergstraat 12,Presidentiele commissie ,2015
187,VOLKSGEZONDHEID,NAR,Huur,Redelijk,,Paramaribo,Letitia Vriesdelaan 1,Dienstverlenend Nationale Anti Drugs Raad,2015
188,VOLKSGEZONDHEID,RKBO (terrein),Huur,Slecht,,Paramaribo,Henck Arronstraat  68,Parkeren auto personeel MVG,2015
189,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Derde Rijweg,Eigendom,Goed,,Paramaribo,Kwatta,Onbekend,2015
190,FINANCIEN,Ministerie van Financien,Eigendom,Redelijk tot slecht,,Paramaribo,Tamarindelaan 3,Hoofdkantoor,2015
191,FINANCIEN,Hoekgebouw,Eigendom,Redelijk tot slecht,,Paramaribo,Mr.F.Lim A Postraat no.1,"Diverse dienstonderdelen
directoraat Financien",2015
192,FINANCIEN,Thesaurie-Inspektie,Eigendom,Slecht,,Paramaribo,Mr.DR.J.C. de Mirandastraat 17,Kantoor/ontruimd,2015
193,FINANCIEN,"Begrotings-en Financiele
zaken",Eigendom,Redelijk tot matig,,Paramaribo,Hofstede Crull'laan 44,"Diverse dienstonderdelen
directoraat Financien + pensioenfonds",2015
194,FINANCIEN,Werkloods/Magazijn,Eigendom,Redelijk,,Paramaribo,Hofstede Crull'laan 44,Opslag Alza/werkplaatst TD,2015
195,FINANCIEN,"Centaal Bureau Mecha-
nische Administratie",Eigendom,Redelijk tot slecht,,Paramaribo,Letitia Vriesdelaan 5,Kantoor/Directoraat Financien,2015
196,FINANCIEN,Oud Landbouwbank,Huur,Redelijk,,Paramaribo,Watermolenstraat 51-53,"Thesaurie-Inspektie/kantoor
directeur Financien/secretariaat",2015
197,FINANCIEN,RK Bisdom,Huur,Redelijk,,Paramaribo,Wulfingstraat,"Directoraat Planning en Ontwik
kelingsfinanciering",2015
198,FINANCIEN,PPS complex,Huur,Redelijk,,Paramaribo,Burenstraat no.33,Centrale Betaaldienst,2015
199,FINANCIEN,PPS complex,Huur,Redelijk,,Paramaribo,Burenstraat no.33,Centrale Begrotingsboekhouding,2015
200,FINANCIEN,PPS complex,Huur,Redelijk,,Paramaribo,Burenstraat no.33,Comptabiliteit,2015
201,FINANCIEN,Directoraat belastingen,Eigendom,Slecht,,Paramaribo,Mr.DR.J.C. de Mirandastraat 5-7,Kantoor/ontruimd,2015
202,FINANCIEN,"Centraal Belasting
kantoor",Eigendom,Redelijk tot matig,,Paramaribo,Van Sommelsdijckstraat 27,Directoraat Belastingen,2015
203,FINANCIEN,BDO,Huur,Redelijk,,Paramaribo,Kerkplein 11-12,Directoraat Belastingen,2015
204,FINANCIEN,ABC,Huur,Redelijk,,Paramaribo,Mahonylaan 72,Directoraat Belastingen,2015
205,FINANCIEN,"N.V. Havenbeheer Suri-
name",Huur,Matig tot slecht,,Paramaribo,Nw. Haven Complex,"Directoraat Belastingen/ Inspectie
der Invoerrechten & Accijnzen",2015
206,FINANCIEN,"N.V. Havenbeheer Suri-
name",Huur,Matig tot slecht,,Paramaribo,Nw. Haven Complex,"Directoraat Belastingen/Ontvanger
der Invoerrechten & Accijnzen",2015
207,FINANCIEN,"N.V. Havenbeheer Suri-
name",Huur,Matig tot slecht,,Paramaribo,Nw. Haven Complex,Deviezen Commissie,2015
208,FINANCIEN,Stichting Hedo,Huur,Redelijk,,Paramaribo,Wagenwegstraat 36,"Raad van Beroep en het Assycuda
Implementatieteam",2015
172 B,REGIONALE ONTWIKKELING EN SPORT,kantoor,Eigendom Min.ROS,Redelijk,in gebruik,Paramaribo,Van Sommelsdijkstraat 2,Onbekend,20-Dec-20
172A,REGIONALE ONTWIKKELING EN SPORT,kantoor,eigendom Min.ROS,redelijk,in gebruik,Paramaribo,Van Sommelsdijckstraat 2,Onbekend,20-Dec-20
97,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Parijs,Eigendom,Verkoop,in gebruik,Parijs,"94 reu du Ranelagh, 75016, Parijs (Kanselarij)",Onbekend,13-Aug-20
108,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Dep. Saint Laurant,Gehuurd,,in gebruik,Saint Laurant,"06 Rue Victor, Schoelcher, Saint Laurant, Frans Guyana (Kanselarij)",Onbekend,13-Aug-20
1,GRONDBELEID EN BOSBEHEER,Boskamp,Eigendom van de Staat,Slecht,leegstaand,Saramacca,Gongrijpstraat 25,Buitenposten (Jachtopzieners),17-Aug-20
3,BINNENLANDSE ZAKEN,BVB Jarikaba,Geb. Surland,Goed,in gebruik,Saramacca,Bananen Bacoveweg,Diverse diensten CBB,20-Aug-20
4,BINNENLANDSE ZAKEN,BVB Kanpong Baru,Geb Min RO,Goed,in gebruik,Saramacca,Sidodadiweg  3,Diverse diensten CBB,20-Aug-20
5,BINNENLANDSE ZAKEN,BVB Groningen,Eigendom,Goed,in gebruik,Saramacca,Saramaccaweg  188,Diverse diensten CBB,20-Aug-20
6,BINNENLANDSE ZAKEN,BVB Calcutta,Geb Min RO,Goed,in gebruik,Saramacca,Coppenameweg,Diverse diensten CBB,20-Aug-20
7,BINNENLANDSE ZAKEN,BVB Tijgerkreek,Geb Min RO,Slecht,in gebruik,Saramacca,Catt. Sophiaweg  193,Diverse diensten CBB,20-Aug-20
8,BINNENLANDSE ZAKEN,BVB Tijgerkreek,Eigendom,Aanbouw,in aanbouw,Saramacca,Catharina Sophia,Diverse diensten CBB,20-Aug-20
9,BINNENLANDSE ZAKEN,BVB Santodorp,Eigendom,Aanbouw,in aanbouw,Saramacca,Catarina Sophia,Diverse diensten CBB,20-Aug-20
10,OPENBARE WERKEN,Afd. Restauratie & Onderhoud,eigendom,,,Saramacca,Groningen; Landingstraat,Directoraat Bouwkundige werken en Dienstverlening,
11,OPENBARE WERKEN,Schutsluis Uitkijk,eigendom,,,Saramacca,Wanicakanaalweg,Directoraat Civiel Technische Werken,
12,OPENBARE WERKEN,Erfprachtspolder,eigendom,,,Saramacca,Nomaweg,Directoraat Civiel Technische Werken,
13,OPENBARE WERKEN,Uitkijkpolder,eigendom,,,Saramacca,Wanicakanaalweg,Directoraat Civiel Technische Werken,
14,OPENBARE WERKEN,SARAMACCA,Eigendom,,,Saramacca,"Calcutta, kantorencomplex overheid",Directoraat Openbaar Groen,
15,OPENBARE WERKEN,SARAMACCA,Eigendom,,,Saramacca,"Chandisawwweg, Gebouw OW",Directoraat Openbaar Groen,
16,OPENBARE WERKEN,SARAMACCA,Eigendom,,,Saramacca,"Groningen, gebouw CTW, Landingsstraat",Directoraat Openbaar Groen,
17,OPENBARE WERKEN,SARAMACCA,Eigendom,,,Saramacca,"Kampong Baroe, RO gebouw",Directoraat Openbaar Groen,
18,DEFENSIE,Von Freiburg,Ter beschikking,Slecht,in gebruik,Saramacca,Tayerbladweg,Agrarisch bedrijf,2-Oct-20
19,DEFENSIE,Marine Basis Boskamp,Aanvraag Ter Beschikking ROGB,Redelijk,in gebruik,Saramacca,Oost-West Verbinding,Detachement,2-Oct-20
22,LANDBOUW VEETEELT & VISSERIJ,LVV Saramacca,Eigendom,Goed,,Saramacca,Misgunstweg,Onbekend,2015
23,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Rayon Wayambo,Eigendom,Goed,,Saramacca,Pomona,Onbekend,2015
25,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Tijgerkreek-West,Eigendom,,,Saramacca,"Tijgerkreek, Koolweg",Onbekend,2015
26,LANDBOUW VEETEELT & VISSERIJ,Rayon Tijgerkreek West,Eigendom,Goed,,Saramacca,Catherina Sophia,Onbekend,2015
27,LANDBOUW VEETEELT & VISSERIJ,Beheerderswoningen Tijgerkreek-West,,,,Saramacca,"Tijgerkreek, Koolweg",Onbekend,2015
28,LANDBOUW VEETEELT & VISSERIJ,Proeftuinen Dirkshoop,STIPRIS,,,Saramacca,Saramaccaweg,Onbekend,2015
29,LANDBOUW VEETEELT & VISSERIJ,Beheerderswoning nw,STIPRIS,Goed,,Saramacca,Saramaccaweg,Onbekend,2015
30,LANDBOUW VEETEELT & VISSERIJ,Beheerderswoning oud,STIPRIS,Slecht,,Saramacca,Saramaccaweg,Onbekend,2015
31,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Dirkshoop,STIPRIS,Matig,,Saramacca,Saramaccaweg,Onbekend,2015
32,LANDBOUW VEETEELT & VISSERIJ,Magazijn,STIPRIS,Goed,,Saramacca,Saramaccaweg,Onbekend,2015
33,LANDBOUW VEETEELT & VISSERIJ,wachterswoning,STIPRIS,Matig,,Saramacca,Saramaccaweg,Onbekend,2015
34,LANDBOUW VEETEELT & VISSERIJ,Proeftuinen La Poule,STIPRIS,,,Saramacca,La Pouleweg,Onbekend,2015
35,LANDBOUW VEETEELT & VISSERIJ,Beheerderswoning nw,STIPRIS,Goed,,Saramacca,La Pouleweg,Onbekend,2015
36,LANDBOUW VEETEELT & VISSERIJ,Beheerderswoning oud,STIPRIS,Slecht,,Saramacca,La Pouleweg,Onbekend,2015
37,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw La Poule nw,STIPRIS,Goed,,Saramacca,La Pouleweg,Onbekend,2015
38,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw La Poule oud,STIPRIS,Slecht,,Saramacca,La Pouleweg,Onbekend,2015
39,LANDBOUW VEETEELT & VISSERIJ,wachterswoning,STIPRIS,Slecht,,Saramacca,La Pouleweg,Onbekend,2015
40,LANDBOUW VEETEELT & VISSERIJ,Proeftuin Tijgerkreek West,STIPRIS,,,Saramacca,Koolweg,Onbekend,2015
41,LANDBOUW VEETEELT & VISSERIJ,Beheerderswoning ,STIPRIS,Slecht,,Saramacca,Koolweg,Onbekend,2015
42,LANDBOUW VEETEELT & VISSERIJ,Ass. Beheerderwoning ,STIPRIS,Slecht,,Saramacca,Koolweg,Onbekend,2015
43,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw ,STIPRIS,Goed,,Saramacca,Koolweg,Onbekend,2015
44,FINANCIEN,Commissariaat,Eigendom/ Min.RO,Redelijk tot matig,,Saramacca,Groningen,Betaaldienst,2015
45,FINANCIEN,Commissariaat,Eigendom/ Min.RO,Redelijk tot matig,,Saramacca,Groningen,"Directoraat Financiën/Centrale
Betaaldienst",2015
46,FINANCIEN,Dienstwoning,Eigendom,Slecht,,Saramacca,Zonnebloemstraat 2,Directoraat Belastingen,2015
47,FINANCIEN,Dienstwoning,Eigendom,Slecht,,Saramacca,Misgunstweg 4,"Directoraat Financiën/Centrale
Betaaldienst",2015
1,TRANSPORT COMMUNICATIE EN TOERISME,Alalapadu,Eigendom,Slecht,in gebruik,Sipaliwini,Alalapadu,Vliegdienst/onderhoud,8-Aug-20
2,TRANSPORT COMMUNICATIE EN TOERISME,Apetina,Eigendom,Slecht,in gebruik,Sipaliwini,Apetina,Vliegdienst/onderhoud,8-Aug-20
3,TRANSPORT COMMUNICATIE EN TOERISME,Botopasi,Eigendom,Slecht,in gebruik,Sipaliwini,Botopasi,Vliegdienst/onderhoud,8-Aug-20
4,TRANSPORT COMMUNICATIE EN TOERISME,Cayana,Eigendom,Slecht,in gebruik,Sipaliwini,Cayana,Vliegdienst/onderhoud,8-Aug-20
5,TRANSPORT COMMUNICATIE EN TOERISME,Coenoeni,Eigendom,Slecht,in gebruik,Sipaliwini,Coeroeni,Vliegdienst/onderhoud,8-Aug-20
6,TRANSPORT COMMUNICATIE EN TOERISME,Tepoe,Eigendom,Slecht,in gebruik,Sipaliwini,Tepoe,Vliegdienst/onderhoud,8-Aug-20
7,TRANSPORT COMMUNICATIE EN TOERISME,Coronie,Eigendom,Slecht,in gebruik,Sipaliwini,Coronie,Vliegdienst/onderhoud,8-Aug-20
